Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-24_14-22-55,25,dsb4updn_median_200_13f,0,264,28,0,0.9041095890410958,1.0,0.949640287769784,22.91742424242477,7475,264
2025-09-25_16-41-14,21,dsb4updn_median_200_13f,0,109,102,35,0.5165876777251185,0.7569444444444444,0.6140845070422536,44.514678899079286,1556,144
2025-09-24_15-13-10,14,dsb4updn_median_200_13f,0,79,15,5,0.8404255319148937,0.9404761904761905,0.8876404494382023,33.44261603375537,1129,84
2025-09-22_17-55-26,26,dsb4updn_median_200_13f,0,169,119,16,0.5868055555555556,0.9135135135135135,0.7145877378435518,40.993096646941964,2325,185
2025-09-24_10-24-40,30,dsb4updn_median_200_13f,0,63,61,29,0.5080645161290323,0.6847826086956522,0.5833333333333335,47.387830687833016,604,92
2025-09-24_17-38-17,13,dsb4updn_median_200_13f,0,15,102,0,0.1282051282051282,1.0,0.22727272727272727,44.8111111111021,464,15
2025-09-24_16-29-07,5,dsb4updn_median_200_13f,0,37,196,3,0.15879828326180256,0.925,0.271062271062271,39.7621621621619,1486,40
2025-09-24_15-13-10,14,dsb4updn_median_200_14b,120,78,17,6,0.8210526315789474,0.9285714285714286,0.8715083798882681,32.08760683760715,1261,84
2025-09-24_14-22-55,25,dsb4updn_median_200_14b,120,264,37,0,0.8770764119601329,1.0,0.9345132743362832,20.550000000000527,8686,264
2025-09-22_17-55-26,26,dsb4updn_median_200_14b,120,171,125,14,0.5777027027027027,0.9243243243243243,0.7110187110187112,42.552241715399155,2484,185
2025-09-23_15-50-26,28,dsb4updn_median_200_14b,120,120,95,19,0.5581395348837209,0.8633093525179856,0.6779661016949152,42.356388888888844,1473,139
2025-09-25_16-41-14,21,dsb4updn_median_200_14b,120,114,164,30,0.41007194244604317,0.7916666666666666,0.5402843601895735,42.00789473683963,1921,144
2025-09-24_10-24-40,30,dsb4updn_median_200_14b,120,69,68,23,0.5036496350364964,0.75,0.6026200873362445,46.22318840579913,704,92
2025-09-24_17-38-17,13,dsb4updn_median_200_14b,120,15,132,0,0.10204081632653061,1.0,0.1851851851851852,38.011111111102096,640,15
2025-09-24_16-29-07,5,dsb4updn_median_200_14b,120,37,251,3,0.1284722222222222,0.925,0.22560975609756098,37.54594594594568,1860,40
2025-09-24_15-13-10,14,dsb4updn_median_200_14b,20,80,14,4,0.851063829787234,0.9523809523809523,0.898876404494382,32.78541666666679,1253,84
2025-09-25_16-41-14,21,dsb4updn_median_200_14b,20,119,137,25,0.46484375,0.8263888888888888,0.595,46.13417366946553,1927,144
2025-09-24_14-22-55,25,dsb4updn_median_200_14b,20,264,29,0,0.9010238907849829,1.0,0.9479353680430879,21.0727272727278,8476,264
2025-09-22_17-55-26,26,dsb4updn_median_200_14b,20,169,131,16,0.5633333333333334,0.9135135135135135,0.6969072164948453,40.95936883629114,2543,185
2025-09-23_15-50-26,28,dsb4updn_median_200_14b,20,118,97,21,0.5488372093023256,0.8489208633093526,0.6666666666666667,43.01525423728857,1456,139
2025-09-24_10-24-40,30,dsb4updn_median_200_14b,20,66,67,26,0.49624060150375937,0.717391304347826,0.5866666666666667,44.772727272728815,659,92
2025-09-24_16-29-07,5,dsb4updn_median_200_14b,20,37,268,3,0.12131147540983607,0.925,0.2144927536231884,37.122522522521734,1929,40
2025-09-24_17-38-17,13,dsb4updn_median_200_14b,20,15,134,0,0.10067114093959731,1.0,0.18292682926829268,36.67777777776876,702,15
2025-09-24_15-13-10,14,dsb4updn_median_200_14b,2,78,15,6,0.8387096774193549,0.9285714285714286,0.8813559322033899,31.791880341880294,1280,84
2025-09-24_10-24-40,30,dsb4updn_median_200_14b,2,59,56,33,0.5130434782608696,0.6413043478260869,0.5700483091787439,46.223163841808734,551,92
2025-09-24_14-22-55,25,dsb4updn_median_200_14b,2,264,28,0,0.9041095890410958,1.0,0.949640287769784,21.224242424242952,8440,264
2025-09-23_15-50-26,28,dsb4updn_median_200_14b,2,113,77,26,0.5947368421052631,0.8129496402877698,0.6869300911854103,41.8404129793516,1260,139
2025-09-25_16-41-14,21,dsb4updn_median_200_14b,2,116,138,28,0.4566929133858268,0.8055555555555556,0.5829145728643216,43.94712643677962,1866,144
2025-09-22_17-55-26,26,dsb4updn_median_200_14b,2,158,73,27,0.683982683982684,0.8540540540540541,0.7596153846153847,42.14219409282656,2151,185
2025-09-24_16-29-07,5,dsb4updn_median_200_14b,2,36,229,4,0.13584905660377358,0.9,0.23606557377049178,33.61944444444433,1873,40
2025-09-24_17-38-17,13,dsb4updn_median_200_14b,2,14,118,1,0.10606060606060606,0.9333333333333333,0.1904761904761905,43.74047619046652,684,15
2025-09-24_14-22-55,25,dsb4updn_median_200_14b,0,264,28,0,0.9041095890410958,1.0,0.949640287769784,21.281060606061132,8266,264
2025-09-24_10-24-40,30,dsb4updn_median_200_14b,0,68,68,24,0.5,0.7391304347826086,0.5964912280701754,45.895588235296174,740,92
2025-09-23_15-50-26,28,dsb4updn_median_200_14b,0,122,100,17,0.5495495495495496,0.8776978417266187,0.6759002770083103,41.9915300546451,1520,139
2025-09-24_15-13-10,14,dsb4updn_median_200_14b,0,82,19,2,0.8118811881188119,0.9761904761904762,0.8864864864864865,32.712195121951325,1290,84
2025-09-25_16-41-14,21,dsb4updn_median_200_14b,0,115,139,29,0.452755905511811,0.7986111111111112,0.5778894472361809,43.84637681159163,1885,144
2025-09-22_17-55-26,26,dsb4updn_median_200_14b,0,173,157,12,0.5242424242424243,0.9351351351351351,0.6718446601941749,40.841425818881504,2671,185
2025-09-24_17-38-17,13,dsb4updn_median_200_14b,0,15,141,0,0.09615384615384616,1.0,0.17543859649122806,40.67777777776876,645,15
2025-09-24_16-29-07,5,dsb4updn_median_200_14b,0,37,258,3,0.12542372881355932,0.925,0.2208955223880597,39.62702702702676,1878,40
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,120,264,32,0,0.8918918918918919,1.0,0.9428571428571428,21.54242424242477,8087,264
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,120,118,151,26,0.43866171003717475,0.8194444444444444,0.5714285714285715,44.139548022596344,1824,144
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,120,171,126,14,0.5757575757575758,0.9243243243243243,0.7095435684647302,43.732163742689245,2406,185
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,120,64,64,28,0.5,0.6956521739130435,0.5818181818181818,44.153645833334394,695,92
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,120,126,111,13,0.5316455696202531,0.9064748201438849,0.6702127659574468,43.06560846560859,1463,139
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,120,82,17,2,0.8282828282828283,0.9761904761904762,0.8961748633879781,32.74268292682973,1222,84
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,120,38,256,2,0.1292517006802721,0.95,0.22754491017964074,35.144736842105466,1777,40
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,120,15,126,0,0.10638297872340426,1.0,0.1923076923076923,37.74444444443543,631,15
2025-09-23_15-50-26,28,dsb4updn_median_200_15f,20,120,91,19,0.5687203791469194,0.8633093525179856,0.6857142857142856,43.73388888888935,1428,139
2025-09-24_10-24-40,30,dsb4updn_median_200_15f,20,65,70,27,0.48148148148148145,0.7065217391304348,0.5726872246696035,43.5641025641042,673,92
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,20,171,128,14,0.5719063545150501,0.9243243243243243,0.7066115702479339,41.36276803118841,2464,185
2025-09-25_16-41-14,21,dsb4updn_median_200_15f,20,122,134,22,0.4765625,0.8472222222222222,0.61,47.258743169396396,1833,144
2025-09-24_15-13-10,14,dsb4updn_median_200_15f,20,81,14,3,0.8526315789473684,0.9642857142857143,0.9050279329608938,33.14279835390963,1159,84
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,20,264,32,0,0.8918918918918919,1.0,0.9428571428571428,21.898484848485374,7919,264
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,20,15,118,0,0.11278195488721804,1.0,0.20270270270270271,36.67777777776876,677,15
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,20,37,261,3,0.12416107382550336,0.925,0.21893491124260353,33.906306306306305,1839,40
