Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-24_15-13-10,14,dsb4updn_median_200_9f,20,73,14,11,0.8390804597701149,0.8690476190476191,0.8538011695906432,36.195433789954734,231,84
2025-09-24_14-22-55,25,dsb4updn_median_200_9f,20,255,35,9,0.8793103448275862,0.9659090909090909,0.9205776173285198,34.40941176470653,1186,264
2025-09-22_17-55-26,26,dsb4updn_median_200_9f,20,131,44,54,0.7485714285714286,0.7081081081081081,0.7277777777777776,39.75979643765882,456,185
2025-09-23_15-50-26,28,dsb4updn_median_200_9f,20,77,34,62,0.6936936936936937,0.5539568345323741,0.616,40.80303030302913,237,139
2025-09-24_10-24-40,30,dsb4updn_median_200_9f,20,38,15,54,0.7169811320754716,0.41304347826086957,0.5241379310344828,42.256140350880166,106,92
2025-09-25_16-41-14,21,dsb4updn_median_200_9f,20,82,45,62,0.6456692913385826,0.5694444444444444,0.6051660516605165,43.10325203251971,317,144
2025-09-24_17-38-17,13,dsb4updn_median_200_9f,20,14,39,1,0.2641509433962264,0.9333333333333333,0.411764705882353,44.7642857142755,103,15
2025-09-24_16-29-07,5,dsb4updn_median_200_9f,20,36,116,4,0.23684210526315788,0.9,0.375,38.73981481481498,367,40
2025-09-25_16-41-14,21,dsb4updn_median_200_9f,2,86,49,58,0.6370370370370371,0.5972222222222222,0.6164874551971327,44.57248062015272,318,144
2025-09-24_14-22-55,25,dsb4updn_median_200_9f,2,255,35,9,0.8793103448275862,0.9659090909090909,0.9205776173285198,34.16183006536008,1177,264
2025-09-22_17-55-26,26,dsb4updn_median_200_9f,2,128,30,57,0.810126582278481,0.6918918918918919,0.7463556851311954,41.411979166665944,354,185
2025-09-24_10-24-40,30,dsb4updn_median_200_9f,2,34,16,58,0.68,0.3695652173913043,0.4788732394366197,45.17745098039621,90,92
2025-09-24_15-13-10,14,dsb4updn_median_200_9f,2,70,14,14,0.8333333333333334,0.8333333333333334,0.8333333333333334,35.05809523809528,256,84
2025-09-23_15-50-26,28,dsb4updn_median_200_9f,2,79,30,60,0.7247706422018348,0.5683453237410072,0.6370967741935485,43.25232067510731,250,139
2025-09-24_17-38-17,13,dsb4updn_median_200_9f,2,9,44,6,0.16981132075471697,0.6,0.2647058823529412,43.19259259258828,113,15
2025-09-24_16-29-07,5,dsb4updn_median_200_9f,2,33,114,7,0.22448979591836735,0.825,0.35294117647058826,32.37878787878723,353,40
2025-09-24_10-24-40,30,dsb4updn_median_200_9f,0,40,20,52,0.6666666666666666,0.43478260869565216,0.5263157894736841,44.11833333333561,107,92
2025-09-25_16-41-14,21,dsb4updn_median_200_9f,0,92,38,52,0.7076923076923077,0.6388888888888888,0.6715328467153284,44.6663043478239,318,144
2025-09-23_15-50-26,28,dsb4updn_median_200_9f,0,92,33,47,0.736,0.6618705035971223,0.6969696969696969,41.99021739130518,293,139
2025-09-24_14-22-55,25,dsb4updn_median_200_9f,0,260,32,4,0.8904109589041096,0.9848484848484849,0.935251798561151,34.35256410256472,1193,264
2025-09-24_15-13-10,14,dsb4updn_median_200_9f,0,75,16,9,0.8241758241758241,0.8928571428571429,0.8571428571428571,34.943111111110774,261,84
2025-09-22_17-55-26,26,dsb4updn_median_200_9f,0,127,52,58,0.7094972067039106,0.6864864864864865,0.6978021978021978,38.931233595800336,456,185
2025-09-24_17-38-17,13,dsb4updn_median_200_9f,0,13,45,2,0.22413793103448276,0.8666666666666667,0.35616438356164387,41.410256410249744,108,15
2025-09-24_16-29-07,5,dsb4updn_median_200_9f,0,31,90,9,0.256198347107438,0.775,0.38509316770186336,41.22795698924706,316,40
2025-09-22_17-55-26,26,updnb4ds_100_13b,120,154,68,31,0.6936936936936937,0.8324324324324325,0.7567567567567568,39.35692640692628,1087,185
2025-09-24_10-24-40,30,updnb4ds_100_13b,120,50,28,42,0.6410256410256411,0.5434782608695652,0.5882352941176471,45.8353333333366,254,92
2025-09-24_14-22-55,25,updnb4ds_100_13b,120,264,66,0,0.8,1.0,0.888888888888889,20.640909090909616,8015,264
2025-09-24_15-13-10,14,updnb4ds_100_13b,120,80,16,4,0.8333333333333334,0.9523809523809523,0.888888888888889,29.560000000000038,1042,84
2025-09-23_15-50-26,28,updnb4ds_100_13b,120,111,49,28,0.69375,0.7985611510791367,0.7424749163879598,40.86666666666682,715,139
2025-09-25_16-41-14,21,updnb4ds_100_13b,120,113,87,31,0.565,0.7847222222222222,0.6569767441860465,43.007669616516615,860,144
2025-09-24_16-29-07,5,updnb4ds_100_13b,120,37,155,3,0.19270833333333334,0.925,0.3189655172413794,37.22252252252284,710,40
2025-09-24_17-38-17,13,updnb4ds_100_13b,120,14,46,1,0.23333333333333334,0.9333333333333333,0.37333333333333335,41.676190476184146,161,15
2025-09-22_17-55-26,26,updnb4ds_100_13b,20,149,66,36,0.6930232558139535,0.8054054054054054,0.745,37.70715883668921,1180,185
2025-09-24_14-22-55,25,updnb4ds_100_13b,20,264,51,0,0.8380952380952381,1.0,0.9119170984455958,20.57651515151568,8230,264
2025-09-24_10-24-40,30,updnb4ds_100_13b,20,52,40,40,0.5652173913043478,0.5652173913043478,0.5652173913043478,45.85384615384996,266,92
2025-09-25_16-41-14,21,updnb4ds_100_13b,20,109,83,35,0.5677083333333334,0.7569444444444444,0.648809523809524,44.094495412840594,817,144
2025-09-24_15-13-10,14,updnb4ds_100_13b,20,79,15,5,0.8404255319148937,0.9404761904761905,0.8876404494382023,31.519831223628543,999,84
2025-09-23_15-50-26,28,updnb4ds_100_13b,20,106,50,33,0.6794871794871795,0.762589928057554,0.7186440677966103,42.36383647798842,642,139
2025-09-24_17-38-17,13,updnb4ds_100_13b,20,12,57,3,0.17391304347826086,0.8,0.2857142857142857,37.727777777770676,175,15
2025-09-24_16-29-07,5,updnb4ds_100_13b,20,38,144,2,0.2087912087912088,0.95,0.34234234234234234,38.94122807017554,729,40
2025-09-23_15-50-26,28,updnb4ds_100_13b,2,104,39,35,0.7272727272727273,0.7482014388489209,0.7375886524822695,41.61666666666663,606,139
2025-09-24_14-22-55,25,updnb4ds_100_13b,2,264,51,0,0.8380952380952381,1.0,0.9119170984455958,21.220454545455073,7890,264
2025-09-24_10-24-40,30,updnb4ds_100_13b,2,38,28,54,0.5757575757575758,0.41304347826086957,0.48101265822784817,47.14561403509115,157,92
2025-09-22_17-55-26,26,updnb4ds_100_13b,2,140,41,45,0.7734806629834254,0.7567567567567568,0.7650273224043715,38.61380952380929,956,185
2025-09-24_15-13-10,14,updnb4ds_100_13b,2,80,16,4,0.8333333333333334,0.9523809523809523,0.888888888888889,29.660000000000217,1070,84
2025-09-25_16-41-14,21,updnb4ds_100_13b,2,108,73,36,0.5966850828729282,0.75,0.6646153846153846,42.87685185184954,878,144
2025-09-24_17-38-17,13,updnb4ds_100_13b,2,12,58,3,0.17142857142857143,0.8,0.2823529411764706,39.022222222215305,238,15
2025-09-24_16-29-07,5,updnb4ds_100_13b,2,34,142,6,0.19318181818181818,0.85,0.31481481481481477,31.797058823528097,762,40
2025-09-23_15-50-26,28,updnb4ds_100_13b,0,112,52,27,0.6829268292682927,0.8057553956834532,0.7392739273927392,40.87738095238175,733,139
2025-09-25_16-41-14,21,updnb4ds_100_13b,0,104,75,40,0.5810055865921788,0.7222222222222222,0.6439628482972137,41.63685897435649,831,144
2025-09-24_15-13-10,14,updnb4ds_100_13b,0,81,17,3,0.826530612244898,0.9642857142857143,0.8901098901098902,30.588888888889212,1032,84
2025-09-22_17-55-26,26,updnb4ds_100_13b,0,153,82,32,0.6510638297872341,0.827027027027027,0.7285714285714285,36.59978213507605,1192,185
2025-09-24_14-22-55,25,updnb4ds_100_13b,0,264,57,0,0.822429906542056,1.0,0.9025641025641025,21.735606060606585,7673,264
2025-09-24_10-24-40,30,updnb4ds_100_13b,0,49,26,43,0.6533333333333333,0.532608695652174,0.5868263473053893,44.04285714285889,223,92
2025-09-24_16-29-07,5,updnb4ds_100_13b,0,36,150,4,0.1935483870967742,0.9,0.3185840707964602,36.52777777777799,780,40
2025-09-24_17-38-17,13,updnb4ds_100_13b,0,14,55,1,0.2028985507246377,0.9333333333333333,0.33333333333333337,45.10476190475557,171,15
2025-09-22_17-55-26,26,updnb4ds_100_13f,120,153,68,32,0.6923076923076923,0.827027027027027,0.7536945812807881,38.86013071895392,1088,185
2025-09-25_16-41-14,21,updnb4ds_100_13f,120,111,84,33,0.5692307692307692,0.7708333333333334,0.6548672566371682,42.188888888886204,848,144
2025-09-24_15-13-10,14,updnb4ds_100_13f,120,80,15,4,0.8421052631578947,0.9523809523809523,0.8938547486033519,29.510000000000037,1039,84
2025-09-23_15-50-26,28,updnb4ds_100_13f,120,112,47,27,0.7044025157232704,0.8057553956834532,0.7516778523489932,41.32499999999974,699,139
2025-09-24_14-22-55,25,updnb4ds_100_13f,120,264,65,0,0.8024316109422492,1.0,0.8903878583473862,20.65984848484901,8096,264
2025-09-24_10-24-40,30,updnb4ds_100_13f,120,49,28,43,0.6363636363636364,0.532608695652174,0.5798816568047338,45.68231292517321,245,92
2025-09-24_17-38-17,13,updnb4ds_100_13f,120,14,43,1,0.24561403508771928,0.9333333333333333,0.38888888888888884,43.60476190475557,153,15
2025-09-24_16-29-07,5,updnb4ds_100_13f,120,37,150,3,0.19786096256684493,0.925,0.32599118942731276,37.30360360360392,699,40
2025-09-24_14-22-55,25,updnb4ds_100_13f,20,264,52,0,0.8354430379746836,1.0,0.9103448275862069,20.57651515151568,8287,264
2025-09-25_16-41-14,21,updnb4ds_100_13f,20,109,79,35,0.5797872340425532,0.7569444444444444,0.6566265060240963,44.34220183485894,806,144
2025-09-24_15-13-10,14,updnb4ds_100_13f,20,79,13,5,0.8586956521739131,0.9404761904761905,0.8977272727272727,31.342616033755125,992,84
2025-09-24_10-24-40,30,updnb4ds_100_13f,20,51,35,41,0.5930232558139535,0.5543478260869565,0.5730337078651685,45.746405228761574,257,92
2025-09-22_17-55-26,26,updnb4ds_100_13f,20,148,65,37,0.6948356807511737,0.8,0.7437185929648242,37.86869369369394,1178,185
2025-09-23_15-50-26,28,updnb4ds_100_13f,20,106,48,33,0.6883116883116883,0.762589928057554,0.7235494880546075,42.51477987421484,631,139
2025-09-24_16-29-07,5,updnb4ds_100_13f,20,38,140,2,0.21348314606741572,0.95,0.34862385321100914,40.1780701754387,718,40
2025-09-24_17-38-17,13,updnb4ds_100_13f,20,12,53,3,0.18461538461538463,0.8,0.3,37.727777777770676,169,15
2025-09-24_14-22-55,25,updnb4ds_100_13f,2,264,51,0,0.8380952380952381,1.0,0.9119170984455958,21.080303030303558,7952,264
2025-09-24_10-24-40,30,updnb4ds_100_13f,2,35,24,57,0.5932203389830508,0.3804347826086957,0.4635761589403974,45.551428571431565,152,92
2025-09-22_17-55-26,26,updnb4ds_100_13f,2,139,40,46,0.776536312849162,0.7513513513513513,0.7637362637362637,38.835251798561046,945,185
2025-09-23_15-50-26,28,updnb4ds_100_13f,2,103,39,36,0.7253521126760564,0.7410071942446043,0.7330960854092526,42.327184466019375,589,139
2025-09-24_15-13-10,14,updnb4ds_100_13f,2,80,13,4,0.8602150537634409,0.9523809523809523,0.903954802259887,29.94750000000022,1058,84
2025-09-25_16-41-14,21,updnb4ds_100_13f,2,108,72,36,0.6,0.75,0.6666666666666665,42.450925925923606,879,144
2025-09-24_17-38-17,13,updnb4ds_100_13f,2,12,55,3,0.1791044776119403,0.8,0.29268292682926833,39.022222222215305,228,15
2025-09-24_16-29-07,5,updnb4ds_100_13f,2,34,140,6,0.19540229885057472,0.85,0.31775700934579443,33.82647058823398,759,40
2025-09-22_17-55-26,26,updnb4ds_100_13f,0,153,81,32,0.6538461538461539,0.827027027027027,0.730310262529833,36.9283224400873,1176,185
2025-09-25_16-41-14,21,updnb4ds_100_13f,0,103,72,41,0.5885714285714285,0.7152777777777778,0.64576802507837,41.244336569576795,814,144
2025-09-24_14-22-55,25,updnb4ds_100_13f,0,264,57,0,0.822429906542056,1.0,0.9025641025641025,21.769696969697495,7739,264
2025-09-24_10-24-40,30,updnb4ds_100_13f,0,49,25,43,0.6621621621621622,0.532608695652174,0.5903614457831325,45.297959183675225,211,92
2025-09-24_15-13-10,14,updnb4ds_100_13f,0,81,16,3,0.8350515463917526,0.9642857142857143,0.8950276243093923,30.51481481481514,1024,84
2025-09-23_15-50-26,28,updnb4ds_100_13f,0,112,49,27,0.6956521739130435,0.8057553956834532,0.7466666666666668,40.88035714285776,723,139
2025-09-24_17-38-17,13,updnb4ds_100_13f,0,14,52,1,0.21212121212121213,0.9333333333333333,0.345679012345679,45.10476190475557,163,15
2025-09-24_16-29-07,5,updnb4ds_100_13f,0,36,147,4,0.19672131147540983,0.9,0.3228699551569506,35.472222222222435,772,40
2025-09-24_10-24-40,30,updnb4ds_100_7,120,54,45,38,0.5454545454545454,0.5869565217391305,0.5654450261780105,30.491358024692023,567,92
2025-09-23_15-50-26,28,updnb4ds_100_7,120,113,63,26,0.6420454545454546,0.8129496402877698,0.7174603174603176,28.029793510324936,1594,139
2025-09-24_14-22-55,25,updnb4ds_100_7,120,264,58,0,0.8198757763975155,1.0,0.9010238907849829,12.826515151515677,9640,264
2025-09-25_16-41-14,21,updnb4ds_100_7,120,109,92,35,0.5422885572139303,0.7569444444444444,0.6318840579710144,28.825993883788907,2176,144
2025-09-22_17-55-26,26,updnb4ds_100_7,120,165,66,20,0.7142857142857143,0.8918918918918919,0.7932692307692308,25.730909090908543,3072,185
2025-09-24_15-13-10,14,updnb4ds_100_7,120,83,19,1,0.8137254901960784,0.9880952380952381,0.8924731182795699,20.824899598393845,1586,84
2025-09-24_16-29-07,5,updnb4ds_100_7,120,36,162,4,0.18181818181818182,0.9,0.3025210084033613,21.16574074074036,1716,40
2025-09-24_17-38-17,13,updnb4ds_100_7,120,15,72,0,0.1724137931034483,1.0,0.29411764705882354,22.477777777768765,395,15
2025-09-22_17-55-26,26,updnb4ds_100_7,20,155,73,30,0.6798245614035088,0.8378378378378378,0.7506053268765133,24.395053763440526,3138,185
2025-09-24_14-22-55,25,updnb4ds_100_7,20,264,45,0,0.8543689320388349,1.0,0.9214659685863874,12.712878787879312,9583,264
2025-09-25_16-41-14,21,updnb4ds_100_7,20,106,96,38,0.5247524752475248,0.7361111111111112,0.6127167630057804,29.96918238993426,2050,144
2025-09-24_10-24-40,30,updnb4ds_100_7,20,53,38,39,0.5824175824175825,0.5760869565217391,0.5792349726775957,31.103773584906484,616,92
2025-09-24_15-13-10,14,updnb4ds_100_7,20,81,14,3,0.8526315789473684,0.9642857142857143,0.9050279329608938,21.924691358024983,1479,84
2025-09-23_15-50-26,28,updnb4ds_100_7,20,110,59,29,0.650887573964497,0.7913669064748201,0.7142857142857143,28.06606060606168,1582,139
2025-09-24_16-29-07,5,updnb4ds_100_7,20,36,192,4,0.15789473684210525,0.9,0.26865671641791045,20.999074074073697,1846,40
2025-09-24_17-38-17,13,updnb4ds_100_7,20,15,70,0,0.17647058823529413,1.0,0.3,22.54444444443543,445,15
2025-09-25_16-41-14,21,updnb4ds_100_7,2,107,84,37,0.5602094240837696,0.7430555555555556,0.6388059701492537,28.933333333330904,1911,144
2025-09-24_14-22-55,25,updnb4ds_100_7,2,264,44,0,0.8571428571428571,1.0,0.923076923076923,13.349242424242949,9418,264
2025-09-23_15-50-26,28,updnb4ds_100_7,2,100,47,39,0.6802721088435374,0.7194244604316546,0.6993006993006994,28.235333333333966,1420,139
2025-09-24_10-24-40,30,updnb4ds_100_7,2,46,32,46,0.5897435897435898,0.5,0.5411764705882353,36.125362318842235,460,92
2025-09-24_15-13-10,14,updnb4ds_100_7,2,80,12,4,0.8695652173913043,0.9523809523809523,0.909090909090909,20.46166666666668,1559,84
2025-09-22_17-55-26,26,updnb4ds_100_7,2,151,47,34,0.7626262626262627,0.8162162162162162,0.7885117493472585,25.058498896246284,2619,185
2025-09-24_16-29-07,5,updnb4ds_100_7,2,34,159,6,0.17616580310880828,0.85,0.2918454935622317,17.120588235292804,1886,40
2025-09-24_17-38-17,13,updnb4ds_100_7,2,14,70,1,0.16666666666666666,0.9333333333333333,0.2828282828282828,24.169047619037947,469,15
2025-09-23_15-50-26,28,updnb4ds_100_7,0,119,59,20,0.6685393258426966,0.8561151079136691,0.750788643533123,27.38039215686386,1671,139
2025-09-24_14-22-55,25,updnb4ds_100_7,0,264,50,0,0.8407643312101911,1.0,0.9134948096885813,13.94393939393992,9177,264
2025-09-25_16-41-14,21,updnb4ds_100_7,0,106,83,38,0.5608465608465608,0.7361111111111112,0.6366366366366366,29.144025157230335,2125,144
2025-09-24_15-13-10,14,updnb4ds_100_7,0,81,17,3,0.826530612244898,0.9642857142857143,0.8901098901098902,20.84238683127595,1568,84
2025-09-24_10-24-40,30,updnb4ds_100_7,0,55,43,37,0.5612244897959183,0.5978260869565217,0.5789473684210525,34.8618181818194,535,92
2025-09-22_17-55-26,26,updnb4ds_100_7,0,166,91,19,0.6459143968871596,0.8972972972972973,0.7511312217194571,24.586345381525234,3328,185
2025-09-24_17-38-17,13,updnb4ds_100_7,0,15,79,0,0.1595744680851064,1.0,0.27522935779816515,24.477777777768765,432,15
2025-09-24_16-29-07,5,updnb4ds_100_7,0,35,155,5,0.18421052631578946,0.875,0.30434782608695654,19.963809523809022,1720,40
