Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples,Duration_min
2025-09-24_11-34-51,30,adapt20_3b,120,25,16,46,0.6097560975609756,0.352112676056338,0.4464285714285714,34.70933333333412,152,71,6.631564999999999
2025-09-23_15-50-26,28,adapt20_3b,120,133,114,6,0.5384615384615384,0.9568345323741008,0.689119170984456,22.560651629072908,2307,139,10.387617777777779
2025-09-25_11-21-53,21,adapt20_3b,120,167,82,35,0.6706827309236948,0.8267326732673267,0.7405764966740577,24.25069860279268,1689,202,10.375891666666666
2025-09-24_15-13-10,14,adapt20_3b,120,84,52,0,0.6176470588235294,1.0,0.7636363636363637,16.757539682539836,1789,84,5.505122777777777
2025-09-25_16-41-14,21,adapt20_3b,120,127,185,17,0.40705128205128205,0.8819444444444444,0.5570175438596491,24.292125984248806,2903,144,10.42450111111111
2025-09-24_10-24-40,30,adapt20_3b,120,71,83,21,0.461038961038961,0.7717391304347826,0.5772357723577236,24.268544600940285,975,92,10.413201666666668
2025-09-22_17-42-27,24,adapt20_3b,120,58,66,51,0.46774193548387094,0.5321100917431193,0.4978540772532189,35.04022988505616,715,109,10.506606666666666
2025-09-25_12-52-22,25,adapt20_3b,120,29,273,19,0.09602649006622517,0.6041666666666666,0.1657142857142857,24.44712643677952,1164,48,10.408511666666667
2025-09-24_14-22-55,25,adapt20_3b,120,264,179,0,0.5959367945823928,1.0,0.7468175388967468,8.701515151515677,11176,264,6.399816666666666
2025-09-23_16-17-52,24,adapt20_3b,120,52,77,20,0.40310077519379844,0.7222222222222222,0.5174129353233831,26.349999999997706,594,72,10.371521111111111
2025-09-22_17-55-26,26,adapt20_3b,120,174,170,11,0.5058139534883721,0.9405405405405406,0.6578449905482041,20.16053639846649,3746,185,10.399793333333333
2025-09-24_16-29-07,5,adapt20_3b,120,40,313,0,0.11331444759206799,1.0,0.20356234096692113,14.187500000000194,2543,40,10.618442222222223
2025-09-24_17-38-17,13,adapt20_3b,120,15,146,0,0.09316770186335403,1.0,0.17045454545454544,16.94444444443543,737,15,10.479719999999999
PV01ai32FPGA_250611_115923,29,adapt20_3b,120,142,103,68,0.5795918367346938,0.6761904761904762,0.6241758241758241,22.973474178406455,2073,210,11.266702222222222
PV01ai32FPGA_250611_122326,20,adapt20_3b,120,152,316,17,0.3247863247863248,0.8994082840236687,0.4772370486656201,16.78377192982325,3605,169,11.670613333333334
Calbai32FPGA_251003_144832,11,adapt20_3b,120,182,187,11,0.4932249322493225,0.9430051813471503,0.6476868327402135,19.582051282051843,3710,193,11.366826666666666
Calbai32FPGA_251003_150055,5,adapt20_3b,120,182,209,4,0.46547314578005117,0.978494623655914,0.6308492201039861,17.059157509159128,4338,186,11.173404444444445
Calb_251210_122327,13,adapt20_3b,120,89,253,2,0.260233918128655,0.978021978021978,0.4110854503464204,18.51685393258427,2633,91,10.954382222222222
Calb_251211_104316,5,adapt20_3b,120,103,387,1,0.21020408163265306,0.9903846153846154,0.3468013468013468,17.13592233009603,4310,104,11.098311111111112
Calb_251209_160255,11,adapt20_3b,120,65,104,1,0.38461538461538464,0.9848484848484849,0.5531914893617023,16.86820512820436,1907,66,5.828693333333334
Calb_251210_165332,15,adapt20_3b,120,89,196,2,0.312280701754386,0.978021978021978,0.47340425531914904,19.013108614233,2949,91,11.109688888888888
Calb_251210_162849,15,adapt20_3b,120,110,284,3,0.27918781725888325,0.9734513274336283,0.4339250493096647,18.616666666666426,3698,113,11.705315555555556
Calb_251211_105518,12,adapt20_3b,120,127,287,4,0.30676328502415456,0.9694656488549618,0.46605504587155955,22.89737532808359,4063,131,10.845724444444445
Calb_251210_115904,15,adapt20_3b,120,55,279,1,0.16467065868263472,0.9821428571428571,0.28205128205128205,16.932121212116645,2308,56,11.571626666666667
Calb_251210_121141,15,adapt20_3b,120,67,266,2,0.2012012012012012,0.9710144927536232,0.33333333333333337,16.379601990050745,2371,69,10.848568888888888
Calb_251210_164150,15,adapt20_3b,120,117,273,1,0.3,0.9915254237288136,0.4606299212598425,19.427065527067956,3634,118,10.902613333333333
Calb_251211_110650,5,adapt20_3b,120,67,214,1,0.23843416370106763,0.9852941176470589,0.3839541547277937,17.43582089552104,2346,68,10.853688888888888
2025-09-22_17-55-26,26,adapt20_3b,20,175,164,10,0.5162241887905604,0.9459459459459459,0.6679389312977099,20.333714285713498,3765,185,10.399793333333333
2025-09-25_16-41-14,21,adapt20_3b,20,129,170,15,0.431438127090301,0.8958333333333334,0.582392776523702,24.644444444441497,2735,144,10.42450111111111
2025-09-23_16-17-52,24,adapt20_3b,20,54,73,18,0.4251968503937008,0.75,0.5427135678391959,24.40987654320809,590,72,10.371521111111111
2025-09-25_12-52-22,25,adapt20_3b,20,29,253,19,0.10283687943262411,0.6041666666666666,0.17575757575757575,26.25172413792919,1081,48,10.408511666666667
2025-09-22_17-42-27,24,adapt20_3b,20,57,68,52,0.456,0.5229357798165137,0.4871794871794872,32.85964912280737,725,109,10.506606666666666
2025-09-24_11-34-51,30,adapt20_3b,20,23,14,48,0.6216216216216216,0.323943661971831,0.42592592592592593,32.502898550725924,149,71,6.631564999999999
2025-09-24_10-24-40,30,adapt20_3b,20,69,82,23,0.45695364238410596,0.75,0.5679012345679013,26.542028985508534,983,92,10.413201666666668
2025-09-25_11-21-53,21,adapt20_3b,20,162,83,40,0.6612244897959184,0.801980198019802,0.7248322147651006,24.04259259259067,1670,202,10.375891666666666
